2022-06-13 07:58:38 PM  Acceleration Record Start 
2.4114911556243896,778,146
2.483034372329712,-783,-147
2.5680761337280273,-2,24
2.6305043697357178,-1,-20
2.6974425315856934,2,-12
2.7553951740264893,-8,6
2.8184573650360107,6,-1
2.895702838897705,-32,4
2.9625134468078613,18,-11
3.0217413902282715,-26,-10
3.0802249908447266,0,13
3.171518564224243,33,0
3.2474942207336426,-22,-1
3.326958179473877,-16,20
3.3991899490356445,-4,6
3.4718856811523438,-9,-16
3.5316805839538574,2,22
3.5960519313812256,13,11
3.686311721801758,31,-11
3.7537596225738525,-16,32
3.814969062805176,14,14
3.8890554904937744,25,-2
3.9540646076202393,12,-40
4.049493789672852,34,12
4.104625225067139,4,-41
4.183757543563843,7,-13
4.253154754638672,-2,-16
4.326821804046631,-30,12
4.4028143882751465,22,-30
4.468462944030762,-11,-19
4.526729106903076,-19,-8
4.59069299697876,-25,4
4.692401647567749,-7,45
4.7714009284973145,-22,-16
4.844601631164551,-15,21
4.94631814956665,-13,17
5.010529279708862,2,5
5.094711065292358,11,25
5.152502059936523,7,21
5.250814437866211,-5,26
5.314021110534668,-9,22
5.383365869522095,25,7
5.4430482387542725,53,5
5.529816389083862,0,-72
5.595168828964233,52,10
5.660699367523193,15,-36
5.721457481384277,19,-17
5.813997030258179,-55,4
5.889993190765381,39,-30
5.94712233543396,-35,-46
6.045516014099121,-37,-21
6.113287448883057,-26,0
6.1716628074646,-26,10
6.231302261352539,-20,13
6.301517963409424,15,52
6.359673500061035,-46,15
6.437319755554199,4,13
6.505401372909546,45,4
6.571420669555664,-17,21
6.649216413497925,15,33
6.733940362930298,24,-26
6.795027256011963,-3,43
6.8676228523254395,9,7
6.945976257324219,24,12
7.023658990859985,29,-33
7.0893895626068115,17,-23
7.151360511779785,-31,-22
7.217272043228149,44,2
7.279530048370361,7,-33
7.359318971633911,-43,-8
7.427414417266846,21,-53
7.485365390777588,-31,-22
7.5513458251953125,-33,8
7.642317533493042,-8,51
7.70786190032959,-33,-23
7.7757568359375,-18,16
7.858937978744507,-12,13
7.920812129974365,35,20
7.981163740158081,-27,9
8.0515775680542,10,31
8.115819692611694,-3,30
8.181236505508423,35,-24
8.271173238754272,-19,51
8.338289260864258,32,-47
8.403899431228638,30,105
8.470041751861572,5,-102
8.560906648635864,43,12
8.623138189315796,14,-48
8.690068483352661,3,-24
8.757034301757812,7,-19
8.8306143283844,-55,14
8.910804033279419,27,-40
8.978207349777222,-31,-30
9.047340393066406,-23,39
9.117498636245728,-15,-50
9.19015383720398,-29,16
9.251687049865723,-41,63
9.524845123291016,-152,27
9.599672794342041,176,19
9.674452781677246,6,33
9.757559776306152,13,15
9.842578172683716,16,15
9.899465084075928,21,1
9.964284896850586,20,5
10.030027151107788,-6,-54
10.113436222076416,27,18
10.172290086746216,21,-21
10.237214803695679,-1,-29
10.29809856414795,-36,-11
10.380208015441895,20,-26
10.444952726364136,-27,5
10.51808500289917,9,-30
10.578717470169067,-5,20
10.647220611572266,-4,78
10.71883511543274,-20,27
