2022-06-13 07:58:38 PM  Velocity Record Start 
2.4114911556243896,778,146
2.483034372329712,-5,-1
2.5680761337280273,-7,23
2.6305043697357178,-8,3
2.6974425315856934,-6,-9
2.7553951740264893,-14,-3
2.8184573650360107,-8,-4
2.895702838897705,-40,0
2.9625134468078613,-22,-11
3.0217413902282715,-48,-21
3.0802249908447266,-48,-8
3.171518564224243,-15,-8
3.2474942207336426,-37,-9
3.326958179473877,-53,11
3.3991899490356445,-57,17
3.4718856811523438,-66,1
3.5316805839538574,-64,23
3.5960519313812256,-51,34
3.686311721801758,-20,23
3.7537596225738525,-36,55
3.814969062805176,-22,69
3.8890554904937744,3,67
3.9540646076202393,15,27
4.049493789672852,49,39
4.104625225067139,53,-2
4.183757543563843,60,-15
4.253154754638672,58,-31
4.326821804046631,28,-19
4.4028143882751465,50,-49
4.468462944030762,39,-68
4.526729106903076,20,-76
4.59069299697876,-5,-72
4.692401647567749,-12,-27
4.7714009284973145,-34,-43
4.844601631164551,-49,-22
4.94631814956665,-62,-5
5.010529279708862,-60,0
5.094711065292358,-49,25
5.152502059936523,-42,46
5.250814437866211,-47,72
5.314021110534668,-56,94
5.383365869522095,-31,101
5.4430482387542725,22,106
5.529816389083862,22,34
5.595168828964233,74,44
5.660699367523193,89,8
5.721457481384277,108,-9
5.813997030258179,53,-5
5.889993190765381,92,-35
5.94712233543396,57,-81
6.045516014099121,20,-102
6.113287448883057,-6,-102
6.1716628074646,-32,-92
6.231302261352539,-52,-79
6.301517963409424,-37,-27
6.359673500061035,-83,-12
6.437319755554199,-79,1
6.505401372909546,-34,5
6.571420669555664,-51,26
6.649216413497925,-36,59
6.733940362930298,-12,33
6.795027256011963,-15,76
6.8676228523254395,-6,83
6.945976257324219,18,95
7.023658990859985,47,62
7.0893895626068115,64,39
7.151360511779785,33,17
7.217272043228149,77,19
7.279530048370361,84,-14
7.359318971633911,41,-22
7.427414417266846,62,-75
7.485365390777588,31,-97
7.5513458251953125,-2,-89
7.642317533493042,-10,-38
7.70786190032959,-43,-61
7.7757568359375,-61,-45
7.858937978744507,-73,-32
7.920812129974365,-38,-12
7.981163740158081,-65,-3
8.0515775680542,-55,28
8.115819692611694,-58,58
8.181236505508423,-23,34
8.271173238754272,-42,85
8.338289260864258,-10,38
8.403899431228638,20,143
8.470041751861572,25,41
8.560906648635864,68,53
8.623138189315796,82,5
8.690068483352661,85,-19
8.757034301757812,92,-38
8.8306143283844,37,-24
8.910804033279419,64,-64
8.978207349777222,33,-94
9.047340393066406,10,-55
9.117498636245728,-5,-105
9.19015383720398,-34,-89
9.251687049865723,-75,-26
9.524845123291016,-227,1
9.599672794342041,-51,20
9.674452781677246,-45,53
9.757559776306152,-32,68
9.842578172683716,-16,83
9.899465084075928,5,84
9.964284896850586,25,89
10.030027151107788,19,35
10.113436222076416,46,53
10.172290086746216,67,32
10.237214803695679,66,3
10.29809856414795,30,-8
10.380208015441895,50,-34
10.444952726364136,23,-29
10.51808500289917,32,-59
10.578717470169067,27,-39
10.647220611572266,23,39
10.71883511543274,3,66
